Book,Author
The Goat Thief,Perumal Murugan
The Widow of Malabar Hills,Sujata Massey
The Vanishing,Prerna Singh Bindra
Where India Goes,Diane Coffey and Dean Spears
The Nationalist,Minhaz Merchant
Hisaab Kitaab,Anjana Sukani
Songs of a Coward,Perumal Murugan
An unsuitable boy,Karan johar
Stalin: Waiting for Hitler 1928-1941,Stephen Kotkin
She Goes to War Women Militants of India,Rashmi Saksena
The Future of Humanity,Michio Kaku
Malayalam poetry,Akkitham Achuthan Namboodri
The Testaments,Margaret Atwood
Celestial Bodies,Jokha Alharthi
